0,509
1,376
2,304
3,300
4,294
5,581
6,1382
7,2041
8,2526
9,3451
10,6192
11,3600
12,10865
13,3773
14,6656
15,7867
16,3915
17,5220
18,4788
19,4298
20,3733
21,3557
22,2645
23,2664
24,2377
25,2440
26,2164
27,2033
28,2096
29,2072
30,2002
31,2044
32,1887
33,1921
34,1780
35,1844
36,1981
37,1941
38,1999
39,1865
40,2016
41,1893
42,1849
43,1845
44,1727
45,1790
46,1699
47,1643
48,1592
49,1562
50,1502
51,1476
52,1460
53,1474
54,1361
55,1401
56,1308
57,1304
58,1261
59,1160
60,1216
61,1153
62,1082
63,1046
64,1007
65,1018
66,946
67,957
68,895
69,919
70,876
71,886
72,872
73,903
74,825
75,802
76,828
77,841
78,786
79,810
80,813
81,795
82,803
83,755
84,840
85,826
86,798
87,863
88,801
89,829
90,836
91,833
92,781
93,812
94,831
95,822
96,820
97,797
98,748
99,758
100,843
101,818
102,809
103,796
104,837
105,772
106,780
107,811
108,742
109,760
110,745
111,779
112,732
113,745
114,702
115,686
116,718
117,623
118,681
119,680
120,670
121,615
122,634
123,610
124,601
125,586
126,619
127,572
128,552
129,516
130,571
131,524
132,580
133,513
134,510
135,486
136,552
137,551
138,478
139,461
140,514
141,478
142,462
143,479
144,463
145,452
146,448
147,443
148,433
149,443
150,472
151,427
152,459
153,475
154,440
155,456
156,460
157,481
158,429
159,448
160,453
161,416
162,446
163,474
164,423
165,425
166,439
167,443
168,433
169,390
170,453
171,427
172,397
173,403
174,428
175,408
176,422
177,385
178,382
179,421
180,433
181,434
182,415
183,475
184,440
185,452
186,437
187,459
188,459
189,501
190,428
191,439
192,452
193,506
194,482
195,488
196,491
197,517
198,485
199,472
200,464
201,424
202,413
203,437
204,424
205,391
206,431
207,398
208,437
209,387
210,379
211,370
212,382
213,353
214,358
215,308
216,302
217,308
218,273
219,258
220,231
221,224
222,198
223,172
224,200
225,193
226,191
227,167
228,188
229,157
230,162
231,163
232,176
233,177
234,187
235,207
236,192
237,224
238,262
239,232
240,229
241,256
242,304
243,296
244,373
245,358
246,368
247,355
248,309
249,317
250,274
251,273
252,474
253,412
254,362
255,46
