rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,509,0.002038,0.002038,0.519812,1,0
1,376,0.001506,0.003544,0.903799,1,1189
2,304,0.001217,0.004762,1.214257,1,1175
3,300,0.001201,0.005963,1.520629,2,0
4,294,0.001177,0.007141,1.820874,2,1382
5,581,0.002327,0.009468,2.414216,2,0
6,1382,0.005535,0.015002,3.825572,4,2041
7,2041,0.008174,0.023176,5.909926,6,0
8,2526,0.010116,0.033292,8.489583,8,2526
9,3451,0.013821,0.047113,12.013889,12,0
10,6192,0.024798,0.071911,18.337418,18,0
11,3600,0.014418,0.086329,22.013889,22,0
12,10865,0.043513,0.129842,33.109681,33,3451
13,3773,0.015110,0.144952,36.962827,37,0
14,6656,0.026656,0.171609,43.760212,44,0
15,7867,0.031506,0.203115,51.794322,52,0
16,3915,0.015679,0.218794,55.792484,56,0
17,5220,0.020905,0.239699,61.123366,61,0
18,4788,0.019175,0.258875,66.013072,66,6192
19,4298,0.017213,0.276088,70.402369,70,0
20,3733,0.014950,0.291038,74.214665,74,0
21,3557,0.014245,0.305283,77.847222,78,0
22,2645,0.010593,0.315876,80.548407,81,3600
23,2664,0.010669,0.326545,83.268995,83,0
24,2377,0.009520,0.336065,85.696487,86,0
25,2440,0.009772,0.345837,88.188317,88,0
26,2164,0.008667,0.354503,90.398284,90,0
27,2033,0.008142,0.362645,92.474469,92,0
28,2096,0.008394,0.371039,94.614992,95,0
29,2072,0.008298,0.379337,96.731005,97,0
30,2002,0.008018,0.387355,98.775531,99,0
31,2044,0.008186,0.395541,100.862949,101,0
32,1887,0.007557,0.403098,102.790033,103,0
33,1921,0.007693,0.410792,104.751838,105,10865
34,1780,0.007129,0.417920,106.569649,107,0
35,1844,0.007385,0.425305,108.452819,108,0
36,1981,0.007934,0.433239,110.475899,110,0
37,1941,0.007773,0.441012,112.458129,112,3773
38,1999,0.008006,0.449018,114.499592,114,0
39,1865,0.007469,0.456487,116.404208,116,0
40,2016,0.008074,0.464561,118.463031,118,0
41,1893,0.007581,0.472142,120.396242,120,0
42,1849,0.007405,0.479547,122.284518,122,0
43,1845,0.007389,0.486936,124.168709,124,0
44,1727,0.006916,0.493853,125.932394,126,6656
45,1790,0.007169,0.501021,127.760417,128,0
46,1699,0.006804,0.507826,129.495507,129,0
47,1643,0.006580,0.514406,131.173407,131,0
48,1592,0.006376,0.520781,132.799224,133,0
49,1562,0.006256,0.527037,134.394404,134,0
50,1502,0.006015,0.533052,135.928309,136,0
51,1476,0.005911,0.538963,137.435662,137,0
52,1460,0.005847,0.544810,138.926675,139,7867
53,1474,0.005903,0.550714,140.431985,140,0
54,1361,0.005451,0.556164,141.821895,142,0
55,1401,0.005611,0.561775,143.252655,143,0
56,1308,0.005238,0.567013,144.588440,145,3915
57,1304,0.005222,0.572236,145.920139,146,0
58,1261,0.005050,0.577286,147.207925,147,0
59,1160,0.004646,0.581932,148.392565,148,0
60,1216,0.004870,0.586802,149.634395,150,0
61,1153,0.004618,0.591419,150.811887,151,5220
62,1082,0.004333,0.595752,151.916871,152,0
63,1046,0.004189,0.599942,152.985090,153,0
64,1007,0.004033,0.603974,154.013480,154,0
65,1018,0.004077,0.608051,155.053105,155,0
66,946,0.003789,0.611840,156.019199,156,4788
67,957,0.003833,0.615673,156.996528,157,0
68,895,0.003584,0.619257,157.910539,158,0
69,919,0.003680,0.622937,158.849060,159,0
70,876,0.003508,0.626446,159.743668,160,4298
71,886,0.003548,0.629994,160.648489,161,0
72,872,0.003492,0.633486,161.539011,162,0
73,903,0.003616,0.637103,162.461193,162,0
74,825,0.003304,0.640407,163.303717,163,3733
75,802,0.003212,0.643619,164.122753,164,0
76,828,0.003316,0.646935,164.968342,165,0
77,841,0.003368,0.650303,165.827206,166,0
78,786,0.003148,0.653451,166.629902,167,3557
79,810,0.003244,0.656695,167.457108,167,0
80,813,0.003256,0.659950,168.287377,168,0
81,795,0.003184,0.663134,169.099265,169,2645
82,803,0.003216,0.666350,169.919322,170,0
83,755,0.003024,0.669374,170.690359,171,2664
84,840,0.003364,0.672738,171.548203,172,0
85,826,0.003308,0.676046,172.391748,172,0
86,798,0.003196,0.679242,173.206699,173,2377
87,863,0.003456,0.682698,174.088031,174,0
88,801,0.003208,0.685906,174.906046,175,2440
89,829,0.003320,0.689226,175.752655,176,0
90,836,0.003348,0.692574,176.606413,177,2164
91,833,0.003336,0.695910,177.457108,177,0
92,781,0.003128,0.699038,178.254698,178,2033
93,812,0.003252,0.702290,179.083946,179,0
94,831,0.003328,0.705618,179.932598,180,0
95,822,0.003292,0.708910,180.772059,181,2096
96,820,0.003284,0.712194,181.609477,182,0
97,797,0.003192,0.715386,182.423407,182,2072
98,748,0.002996,0.718382,183.187296,183,0
99,758,0.003036,0.721417,183.961397,184,2002
100,843,0.003376,0.724793,184.822304,185,0
101,818,0.003276,0.728069,185.657680,186,2044
102,809,0.003240,0.731309,186.483864,186,0
103,796,0.003188,0.734497,187.296773,187,1887
104,837,0.003352,0.737849,188.151552,188,0
105,772,0.003092,0.740941,188.939951,189,1921
106,780,0.003124,0.744065,189.736520,190,0
107,811,0.003248,0.747313,190.564747,191,1780
108,742,0.002972,0.750284,191.322508,191,1844
109,760,0.003044,0.753328,192.098652,192,0
110,745,0.002984,0.756312,192.859477,193,1981
111,779,0.003120,0.759431,193.655025,194,0
112,732,0.002932,0.762363,194.402574,194,1941
113,745,0.002984,0.765347,195.163399,195,0
114,702,0.002811,0.768158,195.880310,196,1999
115,686,0.002747,0.770905,196.580882,197,0
116,718,0.002875,0.773781,197.314134,197,1865
117,623,0.002495,0.776276,197.950368,198,0
118,681,0.002727,0.779003,198.645833,199,2016
119,680,0.002723,0.781727,199.340278,199,0
120,670,0.002683,0.784410,200.024510,200,1893
121,615,0.002463,0.786873,200.652574,201,0
122,634,0.002539,0.789412,201.300041,201,1849
123,610,0.002443,0.791855,201.922998,202,0
124,601,0.002407,0.794262,202.536765,203,1845
125,586,0.002347,0.796609,203.135212,203,0
126,619,0.002479,0.799088,203.767361,204,1727
127,572,0.002291,0.801378,204.351511,204,0
128,552,0.002211,0.803589,204.915237,205,1790
129,516,0.002067,0.805656,205.442198,205,1699
130,571,0.002287,0.807942,206.025327,206,0
131,524,0.002099,0.810041,206.560458,207,1643
132,580,0.002323,0.812364,207.152778,207,0
133,513,0.002054,0.814418,207.676675,208,1592
134,510,0.002042,0.816461,208.197508,208,1562
135,486,0.001946,0.818407,208.693832,209,0
136,552,0.002211,0.820618,209.257557,209,1502
137,551,0.002207,0.822825,209.820261,210,1476
138,478,0.001914,0.824739,210.308415,210,0
139,461,0.001846,0.826585,210.779208,211,1460
140,514,0.002059,0.828644,211.304126,211,1474
141,478,0.001914,0.830558,211.792279,212,0
142,462,0.001850,0.832408,212.264093,212,1361
143,479,0.001918,0.834327,212.753268,213,1401
144,463,0.001854,0.836181,213.226103,213,0
145,452,0.001810,0.837991,213.687704,214,1308
146,448,0.001794,0.839785,214.145221,214,1304
147,443,0.001774,0.841559,214.597631,215,1261
148,433,0.001734,0.843293,215.039828,215,1160
149,443,0.001774,0.845068,215.492239,215,0
150,472,0.001890,0.846958,215.974265,216,1216
151,427,0.001710,0.848668,216.410335,216,1153
152,459,0.001838,0.850506,216.879085,217,1082
153,475,0.001902,0.852409,217.364175,217,1046
154,440,0.001762,0.854171,217.813521,218,1007
155,456,0.001826,0.855997,218.279208,218,1018
156,460,0.001842,0.857839,218.748979,219,946
157,481,0.001926,0.859765,219.240196,219,957
158,429,0.001718,0.861484,219.678309,220,895
159,448,0.001794,0.863278,220.135825,220,919
160,453,0.001814,0.865092,220.598448,221,876
161,416,0.001666,0.866758,221.023284,221,886
162,446,0.001786,0.868544,221.478758,221,1775
163,474,0.001898,0.870442,221.962827,222,825
164,423,0.001694,0.872137,222.394812,222,802
165,425,0.001702,0.873839,222.828840,223,828
166,439,0.001758,0.875597,223.277165,223,841
167,443,0.001774,0.877371,223.729575,224,1596
168,433,0.001734,0.879105,224.171773,224,813
169,390,0.001562,0.880667,224.570057,225,795
170,453,0.001814,0.882481,225.032680,225,803
171,427,0.001710,0.884191,225.468750,225,755
172,397,0.001590,0.885781,225.874183,226,1666
173,403,0.001614,0.887395,226.285743,226,798
174,428,0.001714,0.889109,226.722835,227,863
175,408,0.001634,0.890743,227.139502,227,801
176,422,0.001690,0.892433,227.570466,228,829
177,385,0.001542,0.893975,227.963644,228,1669
178,382,0.001530,0.895505,228.353758,228,781
