rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,0,0.000000,0.000000,0.000000,0,15409
1,1,0.000000,0.000000,0.000031,0,15409
2,0,0.000000,0.000000,0.000031,0,15409
3,0,0.000000,0.000000,0.000031,0,15409
4,1,0.000000,0.000000,0.000061,0,15409
5,3,0.000000,0.000001,0.000154,0,15409
6,3,0.000000,0.000001,0.000246,0,15409
7,6,0.000001,0.000002,0.000430,0,15409
8,6,0.000001,0.000002,0.000615,0,15409
9,10,0.000001,0.000004,0.000922,0,15409
10,16,0.000002,0.000006,0.001414,0,15409
11,22,0.000003,0.000008,0.002091,0,15409
12,49,0.000006,0.000014,0.003597,0,15409
13,47,0.000006,0.000020,0.005042,0,15409
14,75,0.000009,0.000029,0.007348,0,15409
15,97,0.000012,0.000041,0.010330,0,15409
16,130,0.000016,0.000056,0.014327,0,15409
17,208,0.000025,0.000081,0.020721,0,15409
18,209,0.000025,0.000106,0.027147,0,15409
19,290,0.000035,0.000141,0.036062,0,15409
20,363,0.000044,0.000185,0.047222,0,15409
21,367,0.000044,0.000229,0.058505,0,15409
22,574,0.000069,0.000299,0.076152,0,15409
23,640,0.000077,0.000376,0.095828,0,15409
24,791,0.000095,0.000471,0.120146,0,15409
25,1046,0.000126,0.000597,0.152304,0,15409
26,1076,0.000130,0.000727,0.185384,0,15409
27,1478,0.000178,0.000905,0.230823,0,15409
28,1571,0.000189,0.001095,0.279121,0,15409
29,1694,0.000204,0.001299,0.331201,0,15409
30,2255,0.000272,0.001571,0.400528,0,15409
31,2381,0.000287,0.001858,0.473729,0,15409
32,3049,0.000368,0.002225,0.567466,1,31561
33,3402,0.000410,0.002636,0.672056,1,31561
34,3816,0.000460,0.003096,0.789374,1,31561
35,4497,0.000542,0.003638,0.927628,1,31561
36,4873,0.000588,0.004225,1.077441,1,31561
37,5661,0.000683,0.004908,1.251481,1,31561
38,6263,0.000755,0.005663,1.444029,1,31561
39,6616,0.000798,0.006461,1.647428,2,31033
40,7594,0.000916,0.007376,1.880896,2,31033
41,7950,0.000958,0.008335,2.125307,2,31033
42,8873,0.001070,0.009404,2.398096,2,31033
43,9538,0.001150,0.010554,2.691328,3,30249
44,9982,0.001203,0.011758,2.998211,3,30249
45,10729,0.001294,0.013051,3.328060,3,30249
46,11063,0.001334,0.014385,3.668177,4,35622
47,11724,0.001413,0.015798,4.028615,4,35622
48,12835,0.001547,0.017346,4.423210,4,35622
49,12938,0.001560,0.018906,4.820971,5,26899
50,13961,0.001683,0.020589,5.250183,5,26899
51,14191,0.001711,0.022300,5.686466,6,28618
52,14427,0.001739,0.024039,6.130004,6,28618
53,15289,0.001843,0.025883,6.600043,7,30706
54,15417,0.001859,0.027741,7.074018,7,30706
55,16478,0.001987,0.029728,7.580612,8,33134
56,16656,0.002008,0.031736,8.092678,8,33134
57,16882,0.002035,0.033771,8.611692,9,34607
58,17725,0.002137,0.035908,9.156623,9,34607
59,17696,0.002133,0.038042,9.700662,10,36223
60,18527,0.002234,0.040275,10.270249,10,36223
61,18790,0.002265,0.042541,10.847922,11,37821
62,19031,0.002294,0.044835,11.433004,11,37821
63,20017,0.002413,0.047249,12.048400,12,20017
64,19691,0.002374,0.049623,12.653772,13,39827
65,20136,0.002428,0.052050,13.272826,13,39827
66,20725,0.002499,0.054549,13.909988,14,20725
67,20632,0.002487,0.057036,14.544291,15,42656
68,22024,0.002655,0.059692,15.221389,15,42656
69,21355,0.002575,0.062266,15.877919,16,21355
70,22271,0.002685,0.064951,16.562610,17,45150
71,22879,0.002758,0.067710,17.265994,17,45150
72,22418,0.002703,0.070413,17.955205,18,22418
73,23763,0.002865,0.073278,18.685766,19,47296
74,23533,0.002837,0.076115,19.409256,19,47296
75,23907,0.002882,0.078997,20.144244,20,23907
76,24508,0.002955,0.081952,20.897709,21,24508
77,24384,0.002940,0.084892,21.647361,22,49735
78,25351,0.003056,0.087948,22.426743,22,49735
79,25547,0.003080,0.091028,23.212151,23,25547
80,25703,0.003099,0.094127,24.002355,24,25703
81,26681,0.003217,0.097344,24.822626,25,26681
82,26256,0.003166,0.100509,25.629830,26,53047
83,26791,0.003230,0.103739,26.453483,26,53047
84,27090,0.003266,0.107005,27.286328,27,27090
85,26865,0.003239,0.110244,28.112256,28,26865
86,28295,0.003411,0.113655,28.982147,29,28295
87,28057,0.003383,0.117038,29.844721,30,28057
88,28721,0.003463,0.120501,30.727709,31,28721
89,28989,0.003495,0.123996,31.618936,32,28989
90,28796,0.003472,0.127468,32.504230,33,58135
91,29339,0.003537,0.131005,33.406217,33,58135
92,29618,0.003571,0.134576,34.316782,34,29618
93,30095,0.003628,0.138204,35.242012,35,30095
94,29937,0.003609,0.141813,36.162384,36,29937
95,29920,0.003607,0.145421,37.082234,37,29920
96,30592,0.003688,0.149109,38.022743,38,30592
97,30527,0.003680,0.152789,38.961254,39,30527
98,30630,0.003693,0.156482,39.902931,40,30630
99,31043,0.003743,0.160225,40.857306,41,31043
100,31265,0.003769,0.163994,41.818506,42,31265
101,31309,0.003775,0.167769,42.781058,43,31309
102,31753,0.003828,0.171597,43.757261,44,31753
103,31497,0.003797,0.175394,44.725593,45,31497
104,31682,0.003820,0.179214,45.699613,46,31682
105,31736,0.003826,0.183040,46.675293,47,31736
106,31707,0.003823,0.186863,47.650081,48,31707
107,32093,0.003869,0.190732,48.636737,49,32093
108,32605,0.003931,0.194663,49.639133,50,32605
109,32348,0.003900,0.198563,50.633628,51,32348
110,32607,0.003931,0.202494,51.636086,52,32607
111,32731,0.003946,0.206441,52.642356,53,32731
112,32770,0.003951,0.210391,53.649825,54,32770
113,32356,0.003901,0.214292,54.644566,55,32356
114,32295,0.003894,0.218186,55.637431,56,32295
115,32006,0.003859,0.222045,56.621412,57,32006
116,32397,0.003906,0.225951,57.617414,58,32397
117,31746,0.003827,0.229778,58.593401,59,31746
118,31814,0.003836,0.233614,59.571479,60,31814
119,31909,0.003847,0.237461,60.552478,61,31909
120,31568,0.003806,0.241267,61.522993,62,63243
121,31675,0.003819,0.245085,62.496797,62,63243
122,30896,0.003725,0.248810,63.446653,63,30896
123,30901,0.003726,0.252536,64.396662,64,30901
124,30963,0.003733,0.256269,65.348577,65,30963
125,30607,0.003690,0.259959,66.289547,66,30607
126,30491,0.003676,0.263635,67.226951,67,30491
127,30522,0.003680,0.267315,68.165309,68,30522
128,30043,0.003622,0.270937,69.088940,69,30043
129,30177,0.003638,0.274575,70.016690,70,30177
130,29907,0.003606,0.278181,70.936140,71,29907
131,30046,0.003622,0.281803,71.859863,72,30046
132,29864,0.003601,0.285404,72.777991,73,29864
133,29985,0.003615,0.289019,73.699839,74,29985
134,30652,0.003696,0.292714,74.642193,75,30652
135,30878,0.003723,0.296437,75.591495,76,30878
136,30670,0.003698,0.300135,76.534402,77,61029
137,30359,0.003660,0.303795,77.467748,77,61029
138,30723,0.003704,0.307499,78.412285,78,30723
139,30573,0.003686,0.311185,79.352210,79,30573
140,30112,0.003630,0.314816,80.277962,80,30112
141,30537,0.003682,0.318497,81.216781,81,30537
142,30682,0.003699,0.322196,82.160057,82,30682
143,29989,0.003616,0.325812,83.082028,83,29989
144,28665,0.003456,0.329268,83.963294,84,28665
145,27224,0.003282,0.332550,84.800259,85,27224
146,25795,0.003110,0.335660,85.593291,86,50351
147,24556,0.002961,0.338621,86.348231,86,50351
148,23686,0.002856,0.341476,87.076425,87,23686
149,23194,0.002796,0.344273,87.789493,88,23194
150,23347,0.002815,0.347087,88.507265,89,47497
151,24150,0.002912,0.349999,89.249723,89,47497
152,25160,0.003033,0.353032,90.023233,90,25160
153,26248,0.003165,0.356197,90.830192,91,26248
154,27885,0.003362,0.359559,91.687478,92,27885
155,28116,0.003390,0.362948,92.551866,93,55948
156,27832,0.003356,0.366304,93.407523,93,55948
157,27667,0.003336,0.369640,94.258107,94,27667
158,27726,0.003343,0.372982,95.110505,95,27726
159,28317,0.003414,0.376396,95.981073,96,28317
160,30330,0.003657,0.380053,96.913527,97,30330
161,33146,0.003996,0.384049,97.932556,98,33146
162,37590,0.004532,0.388581,99.088209,99,37590
163,40543,0.004888,0.393469,100.334648,100,40543
164,42673,0.005145,0.398614,101.646571,102,42673
165,38614,0.004655,0.403269,102.833706,103,38614
166,35427,0.004271,0.407541,103.922861,104,35427
167,34230,0.004127,0.411668,104.975215,105,34230
168,35213,0.004245,0.415913,106.057791,106,35213
169,35499,0.004280,0.420193,107.149159,107,35499
170,34780,0.004193,0.424386,108.218423,108,34780
171,33199,0.004003,0.428389,109.239081,109,33199
172,30146,0.003635,0.432023,110.165878,110,30146
173,29155,0.003515,0.435538,111.062209,111,29155
174,29335,0.003537,0.439075,111.964073,112,29335
175,29710,0.003582,0.442657,112.877467,113,29710
176,30067,0.003625,0.446282,113.801836,114,30067
177,31122,0.003752,0.450034,114.758639,115,31122
178,32093,0.003869,0.453903,115.745294,116,32093
179,33158,0.003998,0.457901,116.764692,117,33158
180,33719,0.004065,0.461966,117.801336,118,33719
181,34487,0.004158,0.466124,118.861592,119,34487
182,35466,0.004276,0.470400,119.951946,120,35466
183,34936,0.004212,0.474612,121.026005,121,34936
184,34383,0.004145,0.478757,122.083064,122,34383
185,34178,0.004121,0.482878,123.133820,123,34178
186,34050,0.004105,0.486983,124.180641,124,34050
187,33831,0.004079,0.491062,125.220728,125,33831
188,34013,0.004101,0.495162,126.266412,126,34013
189,34671,0.004180,0.499342,127.332324,127,34671
190,35719,0.004306,0.503649,128.430456,128,35719
191,37361,0.004504,0.508153,129.579069,130,37361
192,39761,0.004794,0.512947,130.801467,131,39761
193,41600,0.005015,0.517962,132.080402,132,41600
194,43659,0.005264,0.523226,133.422638,133,43659
195,46749,0.005636,0.528862,134.859872,135,46749
196,49837,0.006009,0.534871,136.392043,136,49837
197,51015,0.006151,0.541021,137.960429,138,51015
198,53549,0.006456,0.547477,139.606720,140,53549
199,55914,0.006741,0.554219,141.325720,141,55914
