0,12662
1,9470
2,9956
3,15502
4,13505
5,16241
6,16808
7,18615
8,17243
9,19732
10,21350
11,21162
12,23702
13,22982
14,23410
15,23537
16,22279
17,23148
18,23316
19,23372
20,23196
21,22722
22,21370
23,21779
24,21682
25,21532
26,21493
27,21326
28,20847
29,20184
30,20274
31,20612
32,20360
33,20445
34,20469
35,20179
36,19816
37,19912
38,19841
39,19739
40,20082
41,19554
42,19134
43,18574
44,18426
45,18071
46,17567
47,17434
48,17232
49,16648
50,15880
51,16076
52,15390
53,15058
54,14747
55,14560
56,14489
57,13758
58,13785
59,13757
60,13346
61,13498
62,13043
63,12868
64,12474
65,12464
66,12326
67,11725
68,11625
69,11360
70,10972
71,10912
72,10559
73,10276
74,10111
75,9979
76,9879
77,9754
78,9780
79,9728
80,9335
81,9267
82,9598
83,9412
84,9509
85,9429
86,9555
87,9561
88,9347
89,9324
90,9249
91,9024
92,9011
93,8948
94,9126
95,8639
96,8707
97,8841
98,8515
99,8554
100,8700
101,8227
102,7937
103,8516
104,7880
105,8218
106,8399
107,8933
108,8398
109,8642
110,8950
111,8822
112,9030
113,9862
114,9448
115,9118
116,9846
117,10563
118,9468
119,10268
120,10480
121,11297
122,10227
123,10830
124,11029
125,10791
126,11710
127,10726
128,9915
129,10745
130,10839
131,11063
132,11581
133,11914
134,12239
135,12614
136,13017
137,13038
138,13149
139,13264
140,13166
141,13284
142,15182
143,11192
144,13254
145,13565
146,13652
147,13740
148,16542
149,11990
150,14219
151,14400
152,14132
153,14087
154,14181
155,17141
156,15429
157,13647
158,16386
159,16552
160,16475
161,18492
162,14158
163,15871
164,15632
165,15941
166,16116
167,16639
168,18835
169,15439
170,17249
171,17589
172,17702
173,17667
174,19208
175,18436
176,16952
177,18549
178,18037
179,17610
180,16563
181,16745
182,14726
183,12742
184,13096
185,11970
186,10770
187,9524
188,8453
189,7905
190,6611
191,6600
192,6016
193,5651
194,5350
195,4335
196,4401
197,3892
198,3582
199,3398
200,3176
201,3075
202,2730
203,2152
204,1759
205,1601
206,1303
207,1190
208,966
209,817
210,917
211,804
212,796
213,764
214,764
215,853
216,713
217,814
218,739
219,673
220,737
221,746
222,771
223,753
224,791
225,773
226,757
227,783
228,657
229,692
230,653
231,693
232,614
233,605
234,641
235,566
236,531
237,510
238,556
239,496
240,580
241,501
242,518
243,502
244,364
245,348
246,384
247,356
248,374
249,321
250,582
251,620
252,2318
253,1290
254,427
255,121
