rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,4,0.000002,0.000002,0.000600,0,3128
1,16,0.000009,0.000012,0.003001,0,3128
2,101,0.000059,0.000071,0.018156,0,3128
3,232,0.000137,0.000208,0.052968,0,3128
4,378,0.000222,0.000430,0.109687,0,3128
5,549,0.000323,0.000753,0.192065,0,3128
6,484,0.000285,0.001038,0.264690,0,3128
7,390,0.000229,0.001267,0.323209,0,3128
8,494,0.000291,0.001558,0.397334,0,3128
9,480,0.000282,0.001841,0.469359,0,3128
10,494,0.000291,0.002131,0.543484,1,6680
11,476,0.000280,0.002411,0.614908,1,6680
12,397,0.000234,0.002645,0.674478,1,6680
13,419,0.000247,0.002892,0.737349,1,6680
14,373,0.000219,0.003111,0.793318,1,6680
15,471,0.000277,0.003388,0.863992,1,6680
16,478,0.000281,0.003669,0.935716,1,6680
17,558,0.000328,0.003998,1.019445,1,6680
18,772,0.000454,0.004452,1.135284,1,6680
19,636,0.000374,0.004826,1.230716,1,6680
20,784,0.000461,0.005288,1.348356,1,6680
21,822,0.000484,0.005771,1.471698,1,6680
22,810,0.000477,0.006248,1.593239,2,6640
23,899,0.000529,0.006777,1.728135,2,6640
24,1459,0.000859,0.007636,1.947059,2,6640
25,1415,0.000833,0.008468,2.159380,2,6640
26,2057,0.001210,0.009679,2.468035,2,6640
27,6105,0.003592,0.013271,3.384095,3,6105
28,4660,0.002742,0.016013,4.083331,4,4660
29,6126,0.003605,0.019618,5.002542,5,6126
30,21662,0.012747,0.032364,8.252941,8,21662
31,12766,0.007512,0.039876,10.168489,10,12766
32,19042,0.011205,0.051081,13.025756,13,19042
33,9822,0.005780,0.056861,14.499554,14,9822
34,15037,0.008848,0.065709,16.755867,17,15037
35,9562,0.005627,0.071336,18.190653,18,9562
36,15166,0.008924,0.080260,20.466322,20,15166
37,8417,0.004953,0.085213,21.729300,22,8417
38,14810,0.008715,0.093928,23.951551,24,14810
39,6072,0.003573,0.097501,24.862659,25,6072
40,5455,0.003210,0.100711,25.681186,26,5455
41,6030,0.003548,0.104259,26.585992,27,6030
42,7094,0.004174,0.108433,27.650452,28,7094
43,6701,0.003943,0.112376,28.655942,29,6701
44,6671,0.003925,0.116302,29.656931,30,6671
45,6634,0.003904,0.120205,30.652368,31,6634
46,11664,0.006863,0.127069,32.402560,32,11664
47,7363,0.004333,0.131402,33.507383,34,11321
48,3958,0.002329,0.133731,34.101284,34,11321
49,6490,0.003819,0.137549,35.075114,35,6490
50,6559,0.003860,0.141409,36.059297,36,6559
51,10575,0.006223,0.147632,37.646083,38,10575
52,9107,0.005359,0.152991,39.012595,39,9107
53,10747,0.006324,0.159314,40.625191,41,10747
54,7538,0.004436,0.163750,41.756273,42,7538
55,6230,0.003666,0.167416,42.691090,43,6230
56,6695,0.003940,0.171356,43.695679,44,9678
57,2983,0.001755,0.173111,44.143281,44,9678
58,8533,0.005021,0.178132,45.423664,45,8533
59,10074,0.005928,0.184060,46.935275,47,10074
60,10196,0.006000,0.190060,48.465193,48,10196
61,6167,0.003629,0.193688,49.390556,49,6167
62,6411,0.003772,0.197461,50.352531,50,6411
63,6150,0.003619,0.201080,51.275343,51,6150
64,4545,0.002674,0.203754,51.957324,52,4545
