0,4
1,16
2,101
3,232
4,378
5,549
6,484
7,390
8,494
9,480
10,494
11,476
12,397
13,419
14,373
15,471
16,478
17,558
18,772
19,636
20,784
21,822
22,810
23,899
24,1459
25,1415
26,2057
27,6105
28,4660
29,6126
30,21662
31,12766
32,19042
33,9822
34,15037
35,9562
36,15166
37,8417
38,14810
39,6072
40,5455
41,6030
42,7094
43,6701
44,6671
45,6634
46,11664
47,7363
48,3958
49,6490
50,6559
51,10575
52,9107
53,10747
54,7538
55,6230
56,6695
57,2983
58,8533
59,10074
60,10196
61,6167
62,6411
63,6150
64,4545
65,9520
66,11292
67,11115
68,7812
69,9243
70,9571
71,4721
72,8177
73,10880
74,15195
75,4855
76,9537
77,8109
78,7503
79,7101
80,8208
81,10250
82,9295
83,6501
84,6752
85,6567
86,6304
87,8326
88,11128
89,9160
90,6083
91,6925
92,7640
93,7606
94,9030
95,8982
96,10909
97,6062
98,6602
99,7120
100,7218
101,9632
102,8963
103,10247
104,7138
105,6992
106,7001
107,6084
108,8906
109,7924
110,7315
111,6654
112,4319
113,5482
114,5005
115,6422
116,7455
117,7875
118,6779
119,4607
120,5420
121,5633
122,6285
123,7591
124,8025
125,6776
126,5233
127,4513
128,4822
129,5472
130,6858
131,6468
132,6022
133,4125
134,4574
135,4102
136,5629
137,7009
138,6697
139,6173
140,4703
141,5017
142,4567
143,6556
144,8656
145,12898
146,16049
147,12137
148,8746
149,10724
150,11220
151,12765
152,12845
153,12023
154,6877
155,6284
156,5663
157,6439
158,6822
159,7087
160,7869
161,8683
162,5876
163,5450
164,7177
165,10587
166,8389
167,8018
168,4851
169,4073
170,3636
171,3073
172,3602
173,3033
174,2503
175,1439
176,1173
177,1006
178,1030
179,1078
180,1114
181,1098
182,843
183,775
184,675
185,822
186,862
187,968
188,899
189,696
190,661
191,589
192,679
193,778
194,813
195,868
196,616
197,618
198,610
199,635
200,731
201,887
202,807
203,683
204,656
205,624
206,659
207,764
208,863
209,906
210,649
211,626
212,699
213,679
214,936
215,1554
216,1510
217,975
218,969
219,1160
220,797
221,1860
222,1283
223,1753
224,1446
225,1242
226,1309
227,576
228,2381
229,1435
230,1639
231,1783
232,2704
233,1504
234,2773
235,3328
236,19322
237,24052
238,27749
239,19219
240,56230
241,12711
242,35734
243,53891
244,53031
245,33207
246,62946
247,36989
248,17880
249,10609
250,3286
251,1173
252,212
253,0
254,0
255,0
