rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,0,0.000000,0.000000,0.000000,0,4311
1,4,0.000002,0.000002,0.000443,0,4311
2,96,0.000042,0.000043,0.011068,0,4311
3,88,0.000038,0.000082,0.020807,0,4311
4,96,0.000042,0.000123,0.031432,0,4311
5,102,0.000044,0.000168,0.042721,0,4311
6,104,0.000045,0.000213,0.054232,0,4311
7,167,0.000072,0.000285,0.072715,0,4311
8,334,0.000145,0.000430,0.109681,0,4311
9,312,0.000135,0.000566,0.144212,0,4311
10,298,0.000129,0.000695,0.177194,0,4311
11,330,0.000143,0.000838,0.213717,0,4311
12,454,0.000197,0.001035,0.263965,0,4311
13,603,0.000262,0.001297,0.330703,0,4311
14,609,0.000264,0.001561,0.398105,0,4311
15,714,0.000310,0.001871,0.477129,0,4311
16,713,0.000309,0.002181,0.556042,1,8120
17,579,0.000251,0.002432,0.620124,1,8120
18,623,0.000270,0.002702,0.689076,1,8120
19,767,0.000333,0.003035,0.773965,1,8120
20,968,0.000420,0.003455,0.881100,1,8120
21,1277,0.000554,0.004010,1.022435,1,8120
22,1110,0.000482,0.004491,1.145286,1,8120
23,1010,0.000438,0.004930,1.257070,1,8120
24,1073,0.000466,0.005395,1.375827,1,8120
25,1285,0.000558,0.005953,1.518047,2,7906
26,1405,0.000610,0.006563,1.673548,2,7906
27,1460,0.000634,0.007197,1.835137,2,7906
28,1708,0.000741,0.007938,2.024173,2,7906
29,2048,0.000889,0.008827,2.250840,2,7906
30,2350,0.001020,0.009847,2.510931,3,8324
31,2772,0.001203,0.011050,2.817728,3,8324
32,3202,0.001390,0.012440,3.172116,3,8324
33,4001,0.001737,0.014176,3.614935,4,8600
34,4599,0.001996,0.016172,4.123939,4,8600
35,5183,0.002250,0.018422,4.697578,5,11040
36,5857,0.002542,0.020964,5.345814,5,11040
37,6423,0.002788,0.023752,6.056693,6,6423
38,7456,0.003236,0.026988,6.881901,7,7456
39,8341,0.003620,0.030608,7.805059,8,8341
40,9497,0.004122,0.034730,8.856159,9,9497
41,10212,0.004432,0.039162,9.986393,10,10212
42,10939,0.004748,0.043910,11.197090,11,10939
43,11201,0.004862,0.048772,12.436784,12,11201
44,11919,0.005173,0.053945,13.755944,14,11919
45,12401,0.005382,0.059327,15.128451,15,12401
46,13088,0.005681,0.065008,16.576992,17,13088
47,13180,0.005720,0.070728,18.035716,18,13180
48,13350,0.005794,0.076523,19.513255,20,13350
49,13865,0.006018,0.082540,21.047793,21,13865
50,14273,0.006195,0.088735,22.627487,23,14273
51,14210,0.006168,0.094903,24.200208,24,14210
52,14410,0.006254,0.101157,25.795065,26,14410
53,14311,0.006211,0.107368,27.378965,27,14311
54,14685,0.006374,0.113742,29.004258,29,14685
55,14724,0.006391,0.120133,30.633867,31,14724
56,14990,0.006506,0.126639,32.292917,32,14990
57,14622,0.006346,0.132985,33.911237,34,14622
58,14981,0.006502,0.139487,35.569290,36,14981
59,14582,0.006329,0.145816,37.183184,37,14582
60,14601,0.006337,0.152154,38.799180,39,14601
61,14875,0.006456,0.158610,40.445501,40,14875
62,14664,0.006365,0.164974,42.068470,42,14664
63,14878,0.006457,0.171432,43.715124,44,14878
64,14641,0.006355,0.177786,45.335547,45,14641
65,14565,0.006322,0.184108,46.947559,47,14565
66,14810,0.006428,0.190536,48.586686,49,14810
67,14756,0.006405,0.196941,50.219837,50,14756
68,14966,0.006496,0.203436,51.876230,52,14966
69,14850,0.006445,0.209882,53.519785,54,14850
70,14778,0.006414,0.216296,55.155371,55,14778
71,14482,0.006286,0.222581,56.758197,57,14482
72,14164,0.006148,0.228729,58.325827,58,14164
73,13902,0.006034,0.234763,59.864460,60,13902
74,14155,0.006144,0.240906,61.431094,61,14155
75,13852,0.006012,0.246918,62.964193,63,13852
76,13680,0.005938,0.252856,64.478255,64,13680
77,13231,0.005743,0.258599,65.942624,66,13231
78,13087,0.005680,0.264279,67.391055,67,13087
79,12480,0.005417,0.269695,68.772305,69,12480
80,11938,0.005181,0.274877,70.093568,70,11938
81,11929,0.005178,0.280054,71.413835,71,11929
82,11371,0.004935,0.284990,72.672344,73,11371
83,11140,0.004835,0.289825,73.905286,74,11140
84,10931,0.004744,0.294569,75.115098,75,10931
85,10648,0.004622,0.299191,76.293587,76,10648
86,10418,0.004522,0.303712,77.446621,77,10418
87,10151,0.004406,0.308118,78.570104,79,10151
88,9757,0.004235,0.312353,79.649980,80,9757
89,9610,0.004171,0.316524,80.713587,81,9610
90,9522,0.004133,0.320657,81.767454,82,9522
91,9530,0.004136,0.324793,82.822207,83,9530
92,9306,0.004039,0.328832,83.852168,84,9306
93,9073,0.003938,0.332770,84.856341,85,9073
94,8657,0.003757,0.336527,85.814473,86,8657
95,8518,0.003697,0.340224,86.757220,87,8518
96,8516,0.003696,0.343921,87.699746,88,8516
97,8298,0.003602,0.347522,88.618145,89,8298
98,8202,0.003560,0.351082,89.525918,90,16313
99,8111,0.003520,0.354602,90.423620,90,16313
100,7918,0.003437,0.358039,91.299961,91,7918
101,7953,0.003452,0.361491,92.180176,92,7953
102,7974,0.003461,0.364952,93.062715,93,7974
103,8017,0.003480,0.368431,93.950013,94,8017
104,8218,0.003567,0.371998,94.859557,95,8218
105,8051,0.003494,0.375493,95.750618,96,8051
106,8278,0.003593,0.379086,96.666803,97,8278
107,8560,0.003715,0.382801,97.614199,98,8560
108,8391,0.003642,0.386443,98.542891,99,16990
109,8599,0.003732,0.390175,99.494603,99,16990
110,8658,0.003758,0.393933,100.452845,100,8658
111,8298,0.003602,0.397534,101.371243,101,8298
112,8147,0.003536,0.401070,102.272930,102,8147
113,8121,0.003525,0.404595,103.171738,103,8121
114,7954,0.003452,0.408047,104.052064,104,7954
115,7726,0.003353,0.411401,104.907155,105,7726
116,7622,0.003308,0.414709,105.750736,106,7622
117,7770,0.003372,0.418081,106.610697,107,15360
118,7590,0.003294,0.421375,107.450736,107,15360
119,7847,0.003406,0.424781,108.319219,108,7847
120,8058,0.003497,0.428279,109.211055,109,8058
121,8196,0.003557,0.431836,110.118164,110,8196
122,8149,0.003537,0.435373,111.020072,111,8149
123,8589,0.003728,0.439101,111.970677,112,8589
124,8533,0.003704,0.442804,112.915085,113,8533
125,8787,0.003814,0.446618,113.887604,114,8787
126,8946,0.003883,0.450501,114.877721,115,8946
127,9318,0.004044,0.454545,115.909010,116,9318
128,9641,0.004184,0.458730,116.976048,117,9641
129,9988,0.004335,0.463065,118.081491,118,9988
130,10144,0.004403,0.467467,119.204199,119,10144
131,10402,0.004515,0.471982,120.355462,120,10402
132,10692,0.004641,0.476623,121.538822,122,10692
133,11013,0.004780,0.481403,122.757708,123,11013
134,10965,0.004759,0.486162,123.971283,124,10965
135,11051,0.004796,0.490958,125.194375,125,11051
136,11260,0.004887,0.495845,126.440599,126,11260
137,11167,0.004847,0.500692,127.676530,128,11167
138,11098,0.004817,0.505509,128.904824,129,11098
139,11294,0.004902,0.510411,130.154811,130,11294
140,11324,0.004915,0.515326,131.408118,131,11324
141,11610,0.005039,0.520365,132.693079,133,11610
