rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,6,0.000006,0.000006,0.001537,0,1376
1,14,0.000014,0.000020,0.005124,0,1376
2,25,0.000025,0.000045,0.011529,0,1376
3,37,0.000037,0.000082,0.021008,0,1376
4,51,0.000051,0.000134,0.034074,0,1376
5,67,0.000067,0.000201,0.051239,0,1376
6,97,0.000097,0.000298,0.076090,0,1376
7,166,0.000167,0.000465,0.118619,0,1376
8,351,0.000353,0.000818,0.208544,0,1376
9,562,0.000565,0.001382,0.352527,0,1376
10,714,0.000717,0.002100,0.535452,1,4238
11,657,0.000660,0.002760,0.703773,1,4238
12,665,0.000668,0.003428,0.874144,1,4238
13,566,0.000569,0.003997,1.019151,1,4238
14,566,0.000569,0.004565,1.164159,1,4238
15,558,0.000561,0.005126,1.307117,1,4238
16,512,0.000514,0.005640,1.438290,1,4238
17,486,0.000488,0.006129,1.562801,2,3916
18,462,0.000464,0.006593,1.681164,2,3916
19,410,0.000412,0.007005,1.786205,2,3916
20,407,0.000409,0.007414,1.890477,2,3916
21,440,0.000442,0.007856,2.003204,2,3916
22,420,0.000422,0.008278,2.110807,2,3916
23,449,0.000451,0.008729,2.225839,2,3916
24,433,0.000435,0.009164,2.336772,2,3916
25,409,0.000411,0.009575,2.441557,2,3916
26,472,0.000474,0.010049,2.562482,3,4042
27,522,0.000524,0.010573,2.696217,3,4042
28,512,0.000514,0.011088,2.827390,3,4042
29,496,0.000498,0.011586,2.954463,3,4042
30,658,0.000661,0.012247,3.123041,3,4042
31,636,0.000639,0.012886,3.285982,3,4042
32,746,0.000750,0.013636,3.477105,3,4042
33,828,0.000832,0.014468,3.689236,4,3463
34,784,0.000788,0.015255,3.890095,4,3463
35,889,0.000893,0.016148,4.117854,4,3463
36,962,0.000967,0.017115,4.364315,4,3463
37,1021,0.001026,0.018141,4.625892,5,3294
38,1124,0.001129,0.019270,4.913858,5,3294
39,1149,0.001154,0.020424,5.208228,5,3294
40,1266,0.001272,0.021696,5.532573,6,3944
41,1306,0.001312,0.023008,5.867166,6,3944
42,1372,0.001378,0.024387,6.218669,6,3944
43,1509,0.001516,0.025903,6.605270,7,4746
44,1550,0.001557,0.027460,7.002375,7,4746
45,1687,0.001695,0.029155,7.434579,7,4746
46,1824,0.001833,0.030988,7.901883,8,3699
47,1875,0.001884,0.032872,8.382252,8,3699
48,2038,0.002048,0.034919,8.904381,9,4172
49,2134,0.002144,0.037063,9.451106,9,4172
50,2327,0.002338,0.039401,10.047276,10,2327
51,2351,0.002362,0.041763,10.649595,11,5067
52,2716,0.002729,0.044492,11.345426,11,5067
53,2846,0.002859,0.047351,12.074562,12,2846
54,2954,0.002968,0.050319,12.831368,13,2954
55,3333,0.003349,0.053668,13.685273,14,3333
56,3519,0.003536,0.057203,14.586830,15,3519
57,3778,0.003796,0.060999,15.554742,16,3778
58,4030,0.004049,0.065048,16.587215,17,4030
59,4442,0.004463,0.069511,17.725242,18,4442
60,4808,0.004831,0.074341,18.957037,19,4808
61,5223,0.005248,0.079589,20.295154,20,5223
62,5570,0.005596,0.085185,21.722171,22,5570
63,6029,0.006057,0.091242,23.266782,23,6029
64,6588,0.006619,0.097861,24.954608,25,6588
65,6850,0.006882,0.104743,26.709557,27,6850
66,7169,0.007203,0.111946,28.546233,29,7169
67,7635,0.007671,0.119617,30.502297,31,7635
68,8280,0.008319,0.127936,32.623607,33,8280
69,8504,0.008544,0.136480,34.802306,35,8504
70,8896,0.008938,0.145417,37.081434,37,8896
71,9276,0.009320,0.154737,39.457917,39,9276
72,9821,0.009867,0.164604,41.974028,42,9821
73,10033,0.010080,0.174684,44.544452,45,10033
74,10847,0.010898,0.185582,47.323420,47,10847
75,10977,0.011029,0.196611,50.135694,50,10977
76,11371,0.011424,0.208035,53.048910,53,11371
77,11864,0.011920,0.219955,56.088430,56,11864
78,12287,0.012345,0.232299,59.236322,59,12287
79,12546,0.012605,0.244904,62.450569,62,12546
80,12735,0.012795,0.257699,65.713237,66,12735
81,12939,0.013000,0.270699,69.028170,69,12939
82,13254,0.013316,0.284015,72.423804,72,13254
83,13431,0.013494,0.297509,75.864785,76,13431
84,13580,0.013644,0.311153,79.343940,79,13580
85,13592,0.013656,0.324809,82.826169,83,13592
86,13475,0.013538,0.338347,86.278423,86,13475
87,13645,0.013709,0.352056,89.774230,90,13645
88,13452,0.013515,0.365571,93.220592,93,13452
89,13324,0.013387,0.378957,96.634160,97,13324
90,13197,0.013259,0.392216,100.015191,100,13197
91,12488,0.012547,0.404763,103.214579,103,12488
92,12226,0.012283,0.417046,106.346842,106,12226
93,11888,0.011944,0.428990,109.392512,109,11888
94,11722,0.011777,0.440767,112.395652,112,11722
95,11076,0.011128,0.451895,115.233290,115,11076
96,10656,0.010706,0.462601,117.963325,118,10656
97,10485,0.010534,0.473135,120.649550,121,10485
98,10026,0.010073,0.483209,123.218180,123,10026
99,9535,0.009580,0.492788,125.661018,126,9535
100,9167,0.009210,0.501998,128.009576,128,9167
101,8712,0.008753,0.510751,130.241564,130,8712
102,8482,0.008522,0.519273,132.414626,132,8482
103,8383,0.008422,0.527695,134.562325,135,8383
104,7863,0.007900,0.535595,136.576802,137,7863
105,7589,0.007625,0.543220,138.521080,139,7589
106,7346,0.007380,0.550600,140.403103,140,7346
107,7155,0.007189,0.557789,142.236192,142,7155
108,6926,0.006959,0.564748,144.010613,144,6926
109,6824,0.006856,0.571604,145.758901,146,6824
110,6661,0.006692,0.578296,147.465428,147,6661
111,6577,0.006608,0.584904,149.150436,149,6577
112,6382,0.006412,0.591316,150.785485,151,6382
113,6155,0.006184,0.597500,152.362377,152,6155
114,5808,0.005835,0.603335,153.850369,154,5808
115,5769,0.005796,0.609131,155.328369,155,5769
116,5621,0.005647,0.614778,156.768452,157,5621
117,5421,0.005446,0.620225,158.157296,158,5421
