rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,6,0.000006,0.000006,0.001537,0,1376
1,14,0.000014,0.000020,0.005124,0,4238
2,25,0.000025,0.000045,0.011529,0,3916
3,37,0.000037,0.000082,0.021008,0,4042
4,51,0.000051,0.000134,0.034074,0,3463
5,67,0.000067,0.000201,0.051239,0,3294
6,97,0.000097,0.000298,0.076090,0,3944
7,166,0.000167,0.000465,0.118619,0,4746
8,351,0.000353,0.000818,0.208544,0,3699
9,562,0.000565,0.001382,0.352527,0,4172
10,714,0.000717,0.002100,0.535452,1,2327
11,657,0.000660,0.002760,0.703773,1,5067
12,665,0.000668,0.003428,0.874144,1,2846
13,566,0.000569,0.003997,1.019151,1,2954
14,566,0.000569,0.004565,1.164159,1,3333
15,558,0.000561,0.005126,1.307117,1,3519
16,512,0.000514,0.005640,1.438290,1,3778
17,486,0.000488,0.006129,1.562801,2,4030
18,462,0.000464,0.006593,1.681164,2,4442
19,410,0.000412,0.007005,1.786205,2,4808
20,407,0.000409,0.007414,1.890477,2,5223
21,440,0.000442,0.007856,2.003204,2,0
22,420,0.000422,0.008278,2.110807,2,5570
23,449,0.000451,0.008729,2.225839,2,6029
24,433,0.000435,0.009164,2.336772,2,0
25,409,0.000411,0.009575,2.441557,2,6588
26,472,0.000474,0.010049,2.562482,3,0
27,522,0.000524,0.010573,2.696217,3,6850
28,512,0.000514,0.011088,2.827390,3,0
29,496,0.000498,0.011586,2.954463,3,7169
30,658,0.000661,0.012247,3.123041,3,0
31,636,0.000639,0.012886,3.285982,3,7635
32,746,0.000750,0.013636,3.477105,3,0
33,828,0.000832,0.014468,3.689236,4,8280
34,784,0.000788,0.015255,3.890095,4,0
35,889,0.000893,0.016148,4.117854,4,8504
36,962,0.000967,0.017115,4.364315,4,0
37,1021,0.001026,0.018141,4.625892,5,8896
38,1124,0.001129,0.019270,4.913858,5,0
39,1149,0.001154,0.020424,5.208228,5,9276
40,1266,0.001272,0.021696,5.532573,6,0
41,1306,0.001312,0.023008,5.867166,6,0
42,1372,0.001378,0.024387,6.218669,6,9821
43,1509,0.001516,0.025903,6.605270,7,0
44,1550,0.001557,0.027460,7.002375,7,0
45,1687,0.001695,0.029155,7.434579,7,10033
46,1824,0.001833,0.030988,7.901883,8,0
47,1875,0.001884,0.032872,8.382252,8,10847
48,2038,0.002048,0.034919,8.904381,9,0
49,2134,0.002144,0.037063,9.451106,9,0
50,2327,0.002338,0.039401,10.047276,10,10977
51,2351,0.002362,0.041763,10.649595,11,0
52,2716,0.002729,0.044492,11.345426,11,0
53,2846,0.002859,0.047351,12.074562,12,11371
54,2954,0.002968,0.050319,12.831368,13,0
55,3333,0.003349,0.053668,13.685273,14,0
