rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,4,0.000002,0.000002,0.000600,0,3128
1,16,0.000009,0.000012,0.003001,0,6680
2,101,0.000059,0.000071,0.018156,0,6640
3,232,0.000137,0.000208,0.052968,0,6105
4,378,0.000222,0.000430,0.109687,0,4660
5,549,0.000323,0.000753,0.192065,0,6126
6,484,0.000285,0.001038,0.264690,0,0
7,390,0.000229,0.001267,0.323209,0,0
8,494,0.000291,0.001558,0.397334,0,21662
9,480,0.000282,0.001841,0.469359,0,0
10,494,0.000291,0.002131,0.543484,1,12766
11,476,0.000280,0.002411,0.614908,1,0
12,397,0.000234,0.002645,0.674478,1,0
13,419,0.000247,0.002892,0.737349,1,19042
14,373,0.000219,0.003111,0.793318,1,9822
15,471,0.000277,0.003388,0.863992,1,0
16,478,0.000281,0.003669,0.935716,1,0
17,558,0.000328,0.003998,1.019445,1,15037
18,772,0.000454,0.004452,1.135284,1,9562
19,636,0.000374,0.004826,1.230716,1,0
20,784,0.000461,0.005288,1.348356,1,15166
21,822,0.000484,0.005771,1.471698,1,0
22,810,0.000477,0.006248,1.593239,2,8417
23,899,0.000529,0.006777,1.728135,2,0
24,1459,0.000859,0.007636,1.947059,2,14810
25,1415,0.000833,0.008468,2.159380,2,6072
26,2057,0.001210,0.009679,2.468035,2,5455
27,6105,0.003592,0.013271,3.384095,3,6030
28,4660,0.002742,0.016013,4.083331,4,7094
29,6126,0.003605,0.019618,5.002542,5,6701
30,21662,0.012747,0.032364,8.252941,8,6671
31,12766,0.007512,0.039876,10.168489,10,6634
32,19042,0.011205,0.051081,13.025756,13,11664
33,9822,0.005780,0.056861,14.499554,14,0
34,15037,0.008848,0.065709,16.755867,17,11321
35,9562,0.005627,0.071336,18.190653,18,6490
36,15166,0.008924,0.080260,20.466322,20,6559
37,8417,0.004953,0.085213,21.729300,22,0
38,14810,0.008715,0.093928,23.951551,24,10575
39,6072,0.003573,0.097501,24.862659,25,9107
40,5455,0.003210,0.100711,25.681186,26,0
41,6030,0.003548,0.104259,26.585992,27,10747
42,7094,0.004174,0.108433,27.650452,28,7538
43,6701,0.003943,0.112376,28.655942,29,6230
44,6671,0.003925,0.116302,29.656931,30,9678
