rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,0,0.000000,0.000000,0.000000,0,15409
1,1,0.000000,0.000000,0.000031,0,31561
2,0,0.000000,0.000000,0.000031,0,31033
3,0,0.000000,0.000000,0.000031,0,30249
4,1,0.000000,0.000000,0.000061,0,35622
5,3,0.000000,0.000001,0.000154,0,26899
6,3,0.000000,0.000001,0.000246,0,28618
7,6,0.000001,0.000002,0.000430,0,30706
8,6,0.000001,0.000002,0.000615,0,33134
9,10,0.000001,0.000004,0.000922,0,34607
10,16,0.000002,0.000006,0.001414,0,36223
11,22,0.000003,0.000008,0.002091,0,37821
12,49,0.000006,0.000014,0.003597,0,20017
13,47,0.000006,0.000020,0.005042,0,39827
14,75,0.000009,0.000029,0.007348,0,20725
15,97,0.000012,0.000041,0.010330,0,42656
16,130,0.000016,0.000056,0.014327,0,21355
17,208,0.000025,0.000081,0.020721,0,45150
18,209,0.000025,0.000106,0.027147,0,22418
19,290,0.000035,0.000141,0.036062,0,47296
20,363,0.000044,0.000185,0.047222,0,23907
21,367,0.000044,0.000229,0.058505,0,24508
22,574,0.000069,0.000299,0.076152,0,49735
23,640,0.000077,0.000376,0.095828,0,25547
24,791,0.000095,0.000471,0.120146,0,25703
25,1046,0.000126,0.000597,0.152304,0,26681
26,1076,0.000130,0.000727,0.185384,0,53047
27,1478,0.000178,0.000905,0.230823,0,27090
28,1571,0.000189,0.001095,0.279121,0,26865
29,1694,0.000204,0.001299,0.331201,0,28295
30,2255,0.000272,0.001571,0.400528,0,28057
31,2381,0.000287,0.001858,0.473729,0,28721
32,3049,0.000368,0.002225,0.567466,1,28989
33,3402,0.000410,0.002636,0.672056,1,58135
34,3816,0.000460,0.003096,0.789374,1,29618
35,4497,0.000542,0.003638,0.927628,1,30095
36,4873,0.000588,0.004225,1.077441,1,29937
37,5661,0.000683,0.004908,1.251481,1,29920
38,6263,0.000755,0.005663,1.444029,1,30592
39,6616,0.000798,0.006461,1.647428,2,30527
40,7594,0.000916,0.007376,1.880896,2,30630
41,7950,0.000958,0.008335,2.125307,2,31043
42,8873,0.001070,0.009404,2.398096,2,31265
43,9538,0.001150,0.010554,2.691328,3,31309
44,9982,0.001203,0.011758,2.998211,3,31753
45,10729,0.001294,0.013051,3.328060,3,31497
46,11063,0.001334,0.014385,3.668177,4,31682
47,11724,0.001413,0.015798,4.028615,4,31736
48,12835,0.001547,0.017346,4.423210,4,31707
49,12938,0.001560,0.018906,4.820971,5,32093
50,13961,0.001683,0.020589,5.250183,5,32605
51,14191,0.001711,0.022300,5.686466,6,32348
52,14427,0.001739,0.024039,6.130004,6,32607
53,15289,0.001843,0.025883,6.600043,7,32731
54,15417,0.001859,0.027741,7.074018,7,32770
55,16478,0.001987,0.029728,7.580612,8,32356
56,16656,0.002008,0.031736,8.092678,8,32295
57,16882,0.002035,0.033771,8.611692,9,32006
58,17725,0.002137,0.035908,9.156623,9,32397
59,17696,0.002133,0.038042,9.700662,10,31746
60,18527,0.002234,0.040275,10.270249,10,31814
61,18790,0.002265,0.042541,10.847922,11,31909
62,19031,0.002294,0.044835,11.433004,11,63243
63,20017,0.002413,0.047249,12.048400,12,30896
64,19691,0.002374,0.049623,12.653772,13,30901
65,20136,0.002428,0.052050,13.272826,13,30963
66,20725,0.002499,0.054549,13.909988,14,30607
67,20632,0.002487,0.057036,14.544291,15,30491
68,22024,0.002655,0.059692,15.221389,15,30522
69,21355,0.002575,0.062266,15.877919,16,30043
70,22271,0.002685,0.064951,16.562610,17,30177
71,22879,0.002758,0.067710,17.265994,17,29907
72,22418,0.002703,0.070413,17.955205,18,30046
73,23763,0.002865,0.073278,18.685766,19,29864
74,23533,0.002837,0.076115,19.409256,19,29985
75,23907,0.002882,0.078997,20.144244,20,30652
76,24508,0.002955,0.081952,20.897709,21,30878
77,24384,0.002940,0.084892,21.647361,22,61029
78,25351,0.003056,0.087948,22.426743,22,30723
79,25547,0.003080,0.091028,23.212151,23,30573
80,25703,0.003099,0.094127,24.002355,24,30112
81,26681,0.003217,0.097344,24.822626,25,30537
82,26256,0.003166,0.100509,25.629830,26,30682
83,26791,0.003230,0.103739,26.453483,26,29989
84,27090,0.003266,0.107005,27.286328,27,28665
85,26865,0.003239,0.110244,28.112256,28,27224
86,28295,0.003411,0.113655,28.982147,29,50351
87,28057,0.003383,0.117038,29.844721,30,23686
88,28721,0.003463,0.120501,30.727709,31,23194
89,28989,0.003495,0.123996,31.618936,32,47497
90,28796,0.003472,0.127468,32.504230,33,25160
91,29339,0.003537,0.131005,33.406217,33,26248
92,29618,0.003571,0.134576,34.316782,34,27885
93,30095,0.003628,0.138204,35.242012,35,55948
94,29937,0.003609,0.141813,36.162384,36,27667
95,29920,0.003607,0.145421,37.082234,37,27726
96,30592,0.003688,0.149109,38.022743,38,28317
97,30527,0.003680,0.152789,38.961254,39,30330
98,30630,0.003693,0.156482,39.902931,40,33146
99,31043,0.003743,0.160225,40.857306,41,37590
100,31265,0.003769,0.163994,41.818506,42,40543
101,31309,0.003775,0.167769,42.781058,43,0
102,31753,0.003828,0.171597,43.757261,44,42673
103,31497,0.003797,0.175394,44.725593,45,38614
104,31682,0.003820,0.179214,45.699613,46,35427
105,31736,0.003826,0.183040,46.675293,47,34230
106,31707,0.003823,0.186863,47.650081,48,35213
107,32093,0.003869,0.190732,48.636737,49,35499
108,32605,0.003931,0.194663,49.639133,50,34780
109,32348,0.003900,0.198563,50.633628,51,33199
110,32607,0.003931,0.202494,51.636086,52,30146
111,32731,0.003946,0.206441,52.642356,53,29155
112,32770,0.003951,0.210391,53.649825,54,29335
113,32356,0.003901,0.214292,54.644566,55,29710
114,32295,0.003894,0.218186,55.637431,56,30067
115,32006,0.003859,0.222045,56.621412,57,31122
116,32397,0.003906,0.225951,57.617414,58,32093
117,31746,0.003827,0.229778,58.593401,59,33158
118,31814,0.003836,0.233614,59.571479,60,33719
119,31909,0.003847,0.237461,60.552478,61,34487
120,31568,0.003806,0.241267,61.522993,62,35466
121,31675,0.003819,0.245085,62.496797,62,34936
122,30896,0.003725,0.248810,63.446653,63,34383
123,30901,0.003726,0.252536,64.396662,64,34178
