rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,6196,0.023791,0.023791,6.066580,6,6196
1,3422,0.013139,0.036930,9.417102,9,3422
2,2190,0.008409,0.045339,11.561358,12,2190
3,2985,0.011461,0.056800,14.484008,14,2985
4,3356,0.012886,0.069686,17.769909,18,3356
5,2636,0.010121,0.079807,20.350849,20,2636
6,3438,0.013201,0.093008,23.717037,24,3438
7,4695,0.018027,0.111035,28.313969,28,4695
8,4251,0.016322,0.127358,32.476175,32,4251
9,4072,0.015635,0.142993,36.463120,36,4072
10,4352,0.016710,0.159703,40.724217,41,4352
11,4581,0.017589,0.177292,45.209530,45,4581
12,5891,0.022619,0.199912,50.977480,51,5891
13,6080,0.023345,0.223257,56.930483,57,6080
14,4939,0.018964,0.242221,61.766319,62,4939
15,5057,0.019417,0.261638,66.717689,67,5057
16,5577,0.021414,0.283052,72.178198,72,5577
17,5532,0.021241,0.304293,77.594648,78,5532
18,4592,0.017632,0.321924,82.090731,82,4592
19,3687,0.014157,0.336081,85.700718,86,3687
20,3221,0.012368,0.348449,88.854439,89,3221
21,3091,0.011868,0.360317,91.880875,92,3091
22,3214,0.012341,0.372658,95.027742,95,3214
23,3018,0.011588,0.384246,97.982702,98,3018
24,2954,0.011342,0.395588,100.875000,101,2954
25,2649,0.010171,0.405759,103.468668,103,2649
26,2240,0.008601,0.414360,105.661880,106,2240
27,1956,0.007510,0.421871,107.577023,108,1956
28,1925,0.007391,0.429262,109.461815,109,1925
29,1777,0.006823,0.436085,111.201697,111,1777
30,1762,0.006765,0.442851,112.926893,113,1762
31,1858,0.007134,0.449985,114.746084,115,1858
32,1855,0.007123,0.457107,116.562337,117,1855
33,1635,0.006278,0.463385,118.163185,118,1635
34,1533,0.005886,0.469271,119.664164,120,1533
35,1400,0.005376,0.474647,121.034922,121,1400
36,1389,0.005333,0.479980,122.394909,122,1389
37,1272,0.004884,0.484864,123.640339,124,1272
38,1251,0.004803,0.489667,124.865209,125,1251
39,1262,0.004846,0.494513,126.100849,126,1262
40,1347,0.005172,0.499685,127.419713,127,1347
41,1347,0.005172,0.504857,128.738577,129,1347
42,1213,0.004658,0.509515,129.926240,130,1213
43,1218,0.004677,0.514191,131.118799,131,1218
44,967,0.003713,0.517904,132.065601,132,967
45,939,0.003605,0.521510,132.984987,133,939
46,958,0.003678,0.525188,133.922977,134,958
47,967,0.003713,0.528901,134.869778,135,967
48,946,0.003632,0.532533,135.796018,136,946
49,940,0.003609,0.536143,136.716384,137,940
50,869,0.003337,0.539479,137.567232,138,1634
51,765,0.002937,0.542417,138.316253,138,1634
52,645,0.002477,0.544893,138.947781,139,645
53,685,0.002630,0.547523,139.618473,140,1373
54,688,0.002642,0.550165,140.292102,140,1373
55,736,0.002826,0.552991,141.012728,141,736
56,673,0.002584,0.555575,141.671671,142,1393
57,720,0.002765,0.558340,142.376632,142,1393
58,761,0.002922,0.561262,143.121736,143,761
59,1454,0.005583,0.566845,144.545366,145,1454
60,2635,0.010117,0.576962,147.125326,147,2635
61,3067,0.011776,0.588738,150.128264,150,3067
62,2707,0.010394,0.599132,152.778721,153,2707
63,3924,0.015067,0.614199,156.620757,157,3924
64,3379,0.012974,0.627173,159.929178,160,3379
65,2408,0.009246,0.636419,162.286880,162,2408
66,2469,0.009480,0.645899,164.704308,165,2469
67,1968,0.007556,0.653456,166.631201,167,1968
68,1709,0.006562,0.660018,168.304504,168,1709
69,1876,0.007203,0.667221,170.141319,170,1876
70,1696,0.006512,0.673733,171.801893,172,1696
71,2268,0.008708,0.682441,174.022520,174,2268
72,2312,0.008877,0.691319,176.286227,176,2312
73,2049,0.007867,0.699186,178.292428,178,2049
74,1786,0.006858,0.706044,180.041123,180,1786
75,1383,0.005310,0.711354,181.395235,181,1383
76,1237,0.004750,0.716104,182.606397,183,1237
77,1218,0.004677,0.720780,183.798956,184,1218
78,1006,0.003863,0.724643,184.783943,185,1006
79,1027,0.003943,0.728586,185.789491,186,1027
80,1090,0.004185,0.732771,186.856723,187,1090
81,949,0.003644,0.736415,187.785901,188,949
82,843,0.003237,0.739652,188.611292,189,1728
83,885,0.003398,0.743050,189.477807,189,1728
84,935,0.003590,0.746640,190.393277,190,935
85,975,0.003744,0.750384,191.347911,191,975
86,921,0.003536,0.753920,192.249674,192,921
87,863,0.003314,0.757234,193.094648,193,863
88,862,0.003310,0.760544,193.938642,194,862
89,867,0.003329,0.763873,194.787533,195,867
90,825,0.003168,0.767040,195.595300,196,1692
91,867,0.003329,0.770369,196.444191,196,1692
92,811,0.003114,0.773483,197.238251,197,811
93,708,0.002718,0.776202,197.931462,198,708
94,738,0.002834,0.779035,198.654047,199,1330
95,592,0.002273,0.781309,199.233681,199,1330
96,565,0.002169,0.783478,199.786880,200,1096
97,531,0.002039,0.785517,200.306789,200,1096
98,497,0.001908,0.787425,200.793407,201,988
99,491,0.001885,0.789310,201.274151,201,988
100,499,0.001916,0.791226,201.762728,202,991
101,492,0.001889,0.793115,202.244452,202,991
102,427,0.001640,0.794755,202.662533,203,933
103,506,0.001943,0.796698,203.157963,203,933
104,554,0.002127,0.798825,203.700392,204,1139
105,585,0.002246,0.801071,204.273172,204,1139
106,696,0.002672,0.803744,204.954634,205,696
107,720,0.002765,0.806508,205.659595,206,720
108,982,0.003771,0.810279,206.621084,207,982
109,1029,0.003951,0.814230,207.628590,208,1029
110,1197,0.004596,0.818826,208.800587,209,1197
111,1124,0.004316,0.823142,209.901110,210,1124
112,943,0.003621,0.826762,210.824413,211,943
113,986,0.003786,0.830548,211.789817,212,986
114,965,0.003705,0.834254,212.734661,213,965
